date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year
2021-06-01,Uttar Pradesh,2-Wheelers,92,264409,2022,Q1,6,2021
2021-06-01,Uttarakhand,2-Wheelers,37,9766,2022,Q1,6,2021
2021-06-01,West Bengal,2-Wheelers,12,67354,2022,Q1,6,2021
2021-07-01,Sikkim,2-Wheelers,0,458,2022,Q2,7,2021
2021-07-01,Sikkim,4-Wheelers,0,452,2022,Q2,7,2021
2021-07-01,Andaman & Nicobar Island,2-Wheelers,0,467,2022,Q2,7,2021
2021-07-01,Arunachal Pradesh,2-Wheelers,0,994,2022,Q2,7,2021
2021-07-01,Arunachal Pradesh,4-Wheelers,0,661,2022,Q2,7,2021
2021-07-01,Assam,4-Wheelers,0,4988,2022,Q2,7,2021
2021-07-01,DNH and DD,4-Wheelers,0,276,2022,Q2,7,2021
2021-07-01,Ladakh,2-Wheelers,0,51,2022,Q2,7,2021
2021-07-01,Ladakh,4-Wheelers,0,552,2022,Q2,7,2021
2021-07-01,Manipur,2-Wheelers,0,474,2022,Q2,7,2021
2021-07-01,Manipur,4-Wheelers,0,68,2022,Q2,7,2021
2021-07-01,Meghalaya,2-Wheelers,0,726,2022,Q2,7,2021
2021-07-01,Mizoram,2-Wheelers,0,1096,2022,Q2,7,2021
2021-07-01,Mizoram,4-Wheelers,0,219,2022,Q2,7,2021
2021-07-01,Nagaland,2-Wheelers,0,583,2022,Q2,7,2021
2021-07-01,Nagaland,4-Wheelers,0,1039,2022,Q2,7,2021
2021-07-01,Puducherry,4-Wheelers,0,866,2022,Q2,7,2021
2021-07-01,Tripura,2-Wheelers,0,2211,2022,Q2,7,2021
2021-07-01,Tripura,4-Wheelers,0,352,2022,Q2,7,2021
2021-07-01,Jammu and Kashmir,4-Wheelers,1,5336,2022,Q2,7,2021
2021-07-01,Meghalaya,4-Wheelers,1,759,2022,Q2,7,2021
2021-07-01,Andaman & Nicobar Island,4-Wheelers,8,176,2022,Q2,7,2021
2021-07-01,Andhra Pradesh,4-Wheelers,36,7877,2022,Q2,7,2021
2021-07-01,Bihar,4-Wheelers,5,5438,2022,Q2,7,2021
2021-07-01,Chandigarh,4-Wheelers,9,1916,2022,Q2,7,2021
2021-07-01,Chhattisgarh,4-Wheelers,12,4916,2022,Q2,7,2021
2021-07-01,Delhi,4-Wheelers,131,15033,2022,Q2,7,2021
2021-07-01,Goa,4-Wheelers,10,982,2022,Q2,7,2021
2021-07-01,Gujarat,4-Wheelers,53,23792,2022,Q2,7,2021
2021-07-01,Haryana,4-Wheelers,6,14524,2022,Q2,7,2021
2021-07-01,Himachal Pradesh,4-Wheelers,2,3811,2022,Q2,7,2021
2021-07-01,Jharkhand,4-Wheelers,4,5020,2022,Q2,7,2021
2021-07-01,Karnataka,4-Wheelers,196,21640,2022,Q2,7,2021
2021-07-01,Kerala,4-Wheelers,139,18406,2022,Q2,7,2021
2021-07-01,Madhya Pradesh,4-Wheelers,17,14581,2022,Q2,7,2021
2021-07-01,Maharashtra,4-Wheelers,286,38063,2022,Q2,7,2021
2021-07-01,Odisha,4-Wheelers,3,5552,2022,Q2,7,2021
2021-07-01,Punjab,4-Wheelers,3,9328,2022,Q2,7,2021
2021-07-01,Rajasthan,4-Wheelers,52,14374,2022,Q2,7,2021
2021-07-01,Tamil Nadu,4-Wheelers,88,20857,2022,Q2,7,2021
2021-07-01,Uttar Pradesh,4-Wheelers,8,27999,2022,Q2,7,2021
2021-07-01,Uttarakhand,4-Wheelers,11,4182,2022,Q2,7,2021
2021-07-01,West Bengal,4-Wheelers,37,8919,2022,Q2,7,2021
2021-07-01,Andhra Pradesh,2-Wheelers,811,58165,2022,Q2,7,2021
2021-07-01,Assam,2-Wheelers,22,22521,2022,Q2,7,2021
2021-07-01,Bihar,2-Wheelers,189,70562,2022,Q2,7,2021
2021-07-01,Chandigarh,2-Wheelers,11,1286,2022,Q2,7,2021
2021-07-01,Chhattisgarh,2-Wheelers,253,30642,2022,Q2,7,2021
2021-07-01,DNH and DD,2-Wheelers,3,704,2022,Q2,7,2021
2021-07-01,Delhi,2-Wheelers,818,24955,2022,Q2,7,2021
2021-07-01,Goa,2-Wheelers,64,1694,2022,Q2,7,2021
2021-07-01,Gujarat,2-Wheelers,358,68641,2022,Q2,7,2021
2021-07-01,Haryana,2-Wheelers,134,24476,2022,Q2,7,2021
2021-07-01,Himachal Pradesh,2-Wheelers,18,6543,2022,Q2,7,2021
2021-07-01,Jammu and Kashmir,2-Wheelers,203,10104,2022,Q2,7,2021
2021-07-01,Jharkhand,2-Wheelers,108,29512,2022,Q2,7,2021
2021-07-01,Karnataka,2-Wheelers,3384,84001,2022,Q2,7,2021
2021-07-01,Kerala,2-Wheelers,456,41455,2022,Q2,7,2021
2021-07-01,Madhya Pradesh,2-Wheelers,469,99094,2022,Q2,7,2021
2021-07-01,Maharashtra,2-Wheelers,2101,146083,2022,Q2,7,2021
2021-07-01,Odisha,2-Wheelers,324,38080,2022,Q2,7,2021
2021-07-01,Puducherry,2-Wheelers,38,3592,2022,Q2,7,2021
2021-07-01,Punjab,2-Wheelers,318,27261,2022,Q2,7,2021
2021-07-01,Rajasthan,2-Wheelers,1378,67308,2022,Q2,7,2021
2021-07-01,Tamil Nadu,2-Wheelers,2801,122808,2022,Q2,7,2021
